Team ID,Team,Opp ID,Opp,Date,Location
721,Air Force,2,Abilene Christian,9/3/2016,H
721,Air Force,254,Georgia St.,9/10/2016,H
721,Air Force,731,Utah St.,9/24/2016,A
721,Air Force,726,Navy,10/1/2016,H
721,Air Force,811,Wyoming,10/8/2016,A
721,Air Force,473,New Mexico,10/15/2016,N
721,Air Force,277,Hawaii,10/22/2016,H
721,Air Force,96,Fresno St.,10/28/2016,A
721,Air Force,725,Army West Point,11/5/2016,A
721,Air Force,156,Colorado St.,11/12/2016,H
721,Air Force,630,San Jose St.,11/19/2016,A
721,Air Force,66,Boise St.,11/25/2016,H
5,Akron,741,VMI,9/3/2016,H
5,Akron,796,Wisconsin,9/10/2016,A
5,Akron,388,Marshall,9/17/2016,A
5,Akron,27,Appalachian St.,9/24/2016,H
5,Akron,331,Kent St.,10/1/2016,A
5,Akron,414,Miami (OH),10/8/2016,H
5,Akron,774,Western Mich.,10/15/2016,H
5,Akron,47,Ball St.,10/22/2016,A
5,Akron,86,Buffalo,10/27/2016,A
5,Akron,709,Toledo,11/2/2016,H
5,Akron,71,Bowling Green,11/9/2016,H
5,Akron,519,Ohio,11/22/2016,A
8,Alabama,657,Southern California,9/3/2016,N
8,Alabama,772,Western Ky.,9/10/2016,H
8,Alabama,433,Ole Miss,9/17/2016,A
8,Alabama,331,Kent St.,9/24/2016,H
8,Alabama,334,Kentucky,10/1/2016,H
8,Alabama,31,Arkansas,10/8/2016,A
8,Alabama,694,Tennessee,10/15/2016,A
8,Alabama,697,Texas A&M,10/22/2016,H
8,Alabama,365,LSU,11/5/2016,A
8,Alabama,430,Mississippi St.,11/12/2016,H
8,Alabama,693,Chattanooga,11/19/2016,H
8,Alabama,37,Auburn,11/26/2016,H
27,Appalachian St.,694,Tennessee,9/1/2016,A
27,Appalachian St.,523,Old Dominion,9/10/2016,H
27,Appalachian St.,415,Miami (FL),9/17/2016,H
27,Appalachian St.,5,Akron,9/24/2016,A
27,Appalachian St.,254,Georgia St.,10/1/2016,H
27,Appalachian St.,671,UL Lafayette,10/12/2016,A
27,Appalachian St.,295,Idaho,10/22/2016,H
27,Appalachian St.,253,Ga. Southern,10/27/2016,A
27,Appalachian St.,670,Texas St.,11/5/2016,H
27,Appalachian St.,716,Troy,11/12/2016,A
27,Appalachian St.,498,La.-Monroe,11/19/2016,H
27,Appalachian St.,472,New Mexico St.,11/26/2016,A
29,Arizona,77,BYU,9/3/2016,N
29,Arizona,261,Grambling,9/10/2016,H
29,Arizona,277,Hawaii,9/17/2016,H
29,Arizona,756,Washington,9/24/2016,H
29,Arizona,110,UCLA,10/1/2016,A
29,Arizona,732,Utah,10/8/2016,A
29,Arizona,657,Southern California,10/15/2016,H
29,Arizona,674,Stanford,10/29/2016,H
29,Arizona,754,Washington St.,11/5/2016,A
29,Arizona,157,Colorado,11/12/2016,H
29,Arizona,528,Oregon St.,11/19/2016,A
29,Arizona,28,Arizona St.,11/25/2016,H
28,Arizona St.,501,Northern Ariz.,9/3/2016,H
28,Arizona St.,700,Texas Tech,9/10/2016,H
28,Arizona St.,706,UTSA,9/16/2016,A
28,Arizona St.,107,California,9/24/2016,H
28,Arizona St.,657,Southern California,10/1/2016,A
28,Arizona St.,110,UCLA,10/8/2016,H
28,Arizona St.,157,Colorado,10/15/2016,A
28,Arizona St.,754,Washington St.,10/22/2016,H
28,Arizona St.,529,Oregon,10/29/2016,A
28,Arizona St.,732,Utah,11/10/2016,H
28,Arizona St.,756,Washington,11/19/2016,A
28,Arizona St.,29,Arizona,11/25/2016,A
31,Arkansas,366,Louisiana Tech,9/3/2016,H
31,Arkansas,698,TCU,9/10/2016,A
31,Arkansas,670,Texas St.,9/17/2016,H
31,Arkansas,697,Texas A&M,9/24/2016,N
31,Arkansas,17,Alcorn,10/1/2016,H
31,Arkansas,8,Alabama,10/8/2016,H
31,Arkansas,433,Ole Miss,10/15/2016,H
31,Arkansas,37,Auburn,10/22/2016,A
31,Arkansas,235,Florida,11/5/2016,H
31,Arkansas,365,LSU,11/12/2016,H
31,Arkansas,430,Mississippi St.,11/19/2016,A
31,Arkansas,434,Missouri,11/25/2016,A
30,Arkansas St.,709,Toledo,9/2/2016,H
30,Arkansas St.,37,Auburn,9/10/2016,A
30,Arkansas St.,731,Utah St.,9/16/2016,A
30,Arkansas St.,1004,Central Ark.,9/24/2016,H
30,Arkansas St.,253,Ga. Southern,10/5/2016,H
30,Arkansas St.,646,South Ala.,10/15/2016,H
30,Arkansas St.,498,La.-Monroe,10/29/2016,H
30,Arkansas St.,254,Georgia St.,11/3/2016,A
30,Arkansas St.,472,New Mexico St.,11/12/2016,H
30,Arkansas St.,716,Troy,11/17/2016,A
30,Arkansas St.,671,UL Lafayette,11/26/2016,A
30,Arkansas St.,670,Texas St.,12/3/2016,A
725,Army West Point,690,Temple,9/2/2016,A
725,Army West Point,574,Rice,9/10/2016,H
725,Army West Point,704,UTEP,9/17/2016,A
725,Army West Point,86,Buffalo,9/24/2016,A
725,Army West Point,193,Duke,10/8/2016,A
725,Army West Point,342,Lafayette,10/15/2016,H
725,Army West Point,497,North Texas,10/22/2016,H
725,Army West Point,749,Wake Forest,10/29/2016,A
725,Army West Point,721,Air Force,11/5/2016,H
725,Army West Point,513,Notre Dame,11/12/2016,N
725,Army West Point,446,Morgan St.,11/19/2016,H
725,Army West Point,726,Navy,12/10/2016,N
37,Auburn,147,Clemson,9/3/2016,H
37,Auburn,30,Arkansas St.,9/10/2016,H
37,Auburn,697,Texas A&M,9/17/2016,H
37,Auburn,365,LSU,9/24/2016,H
37,Auburn,498,La.-Monroe,10/1/2016,H
37,Auburn,430,Mississippi St.,10/8/2016,A
37,Auburn,31,Arkansas,10/22/2016,H
37,Auburn,433,Ole Miss,10/29/2016,A
37,Auburn,736,Vanderbilt,11/5/2016,H
37,Auburn,257,Georgia,11/12/2016,A
37,Auburn,6,Alabama A&M,11/19/2016,H
37,Auburn,8,Alabama,11/26/2016,A
77,BYU,29,Arizona,9/3/2016,N
77,BYU,732,Utah,9/10/2016,A
77,BYU,110,UCLA,9/17/2016,H
77,BYU,768,West Virginia,9/24/2016,N
77,BYU,709,Toledo,9/30/2016,H
77,BYU,416,Michigan St.,10/8/2016,A
77,BYU,430,Mississippi St.,10/14/2016,H
77,BYU,66,Boise St.,10/20/2016,A
77,BYU,140,Cincinnati,11/5/2016,A
77,BYU,667,Southern Utah,11/12/2016,H
77,BYU,400,Massachusetts,11/19/2016,H
77,BYU,731,Utah St.,11/26/2016,H
47,Ball St.,254,Georgia St.,9/2/2016,A
47,Ball St.,306,Indiana,9/10/2016,A
47,Ball St.,202,Eastern Ky.,9/17/2016,H
47,Ball St.,229,Fla. Atlantic,9/24/2016,A
47,Ball St.,503,Northern Ill.,10/1/2016,H
47,Ball St.,129,Central Mich.,10/8/2016,A
47,Ball St.,86,Buffalo,10/15/2016,A
47,Ball St.,5,Akron,10/22/2016,H
47,Ball St.,774,Western Mich.,11/1/2016,H
47,Ball St.,204,Eastern Mich.,11/8/2016,H
47,Ball St.,709,Toledo,11/16/2016,A
47,Ball St.,414,Miami (OH),11/22/2016,A
51,Baylor,508,Northwestern St.,9/2/2016,H
51,Baylor,663,SMU,9/10/2016,H
51,Baylor,574,Rice,9/16/2016,A
51,Baylor,521,Oklahoma St.,9/24/2016,H
51,Baylor,311,Iowa St.,10/1/2016,A
51,Baylor,328,Kansas,10/15/2016,H
51,Baylor,703,Texas,10/29/2016,A
51,Baylor,698,TCU,11/5/2016,H
51,Baylor,522,Oklahoma,11/12/2016,A
51,Baylor,327,Kansas St.,11/19/2016,H
51,Baylor,700,Texas Tech,11/25/2016,N
51,Baylor,768,West Virginia,12/3/2016,A
66,Boise St.,671,UL Lafayette,9/3/2016,A
66,Boise St.,754,Washington St.,9/10/2016,H
66,Boise St.,528,Oregon St.,9/24/2016,A
66,Boise St.,731,Utah St.,10/1/2016,H
66,Boise St.,473,New Mexico,10/7/2016,A
66,Boise St.,156,Colorado St.,10/15/2016,H
66,Boise St.,77,BYU,10/20/2016,H
66,Boise St.,811,Wyoming,10/29/2016,A
66,Boise St.,630,San Jose St.,11/4/2016,H
66,Boise St.,277,Hawaii,11/12/2016,A
66,Boise St.,465,UNLV,11/18/2016,H
66,Boise St.,721,Air Force,11/25/2016,A
67,Boston College,255,Georgia Tech,9/3/2016,N
67,Boston College,400,Massachusetts,9/10/2016,A
67,Boston College,742,Virginia Tech,9/17/2016,A
67,Boston College,748,Wagner,9/24/2016,H
67,Boston College,86,Buffalo,10/1/2016,H
67,Boston College,147,Clemson,10/7/2016,H
67,Boston College,688,Syracuse,10/22/2016,H
67,Boston College,490,North Carolina St.,10/29/2016,A
67,Boston College,367,Louisville,11/5/2016,H
67,Boston College,234,Florida St.,11/11/2016,A
67,Boston College,164,UConn,11/19/2016,H
67,Boston College,749,Wake Forest,11/26/2016,A
71,Bowling Green,518,Ohio St.,9/3/2016,A
71,Bowling Green,494,North Dakota,9/10/2016,H
71,Bowling Green,419,Middle Tenn.,9/17/2016,H
71,Bowling Green,404,Memphis,9/24/2016,A
71,Bowling Green,204,Eastern Mich.,10/1/2016,H
71,Bowling Green,519,Ohio,10/8/2016,A
71,Bowling Green,709,Toledo,10/15/2016,A
71,Bowling Green,414,Miami (OH),10/22/2016,H
71,Bowling Green,503,Northern Ill.,11/1/2016,A
71,Bowling Green,5,Akron,11/9/2016,A
71,Bowling Green,331,Kent St.,11/15/2016,H
71,Bowling Green,86,Buffalo,11/25/2016,H
86,Buffalo,14,Albany (NY),9/2/2016,H
86,Buffalo,466,Nevada,9/17/2016,A
86,Buffalo,725,Army West Point,9/24/2016,H
86,Buffalo,67,Boston College,10/1/2016,A
86,Buffalo,331,Kent St.,10/8/2016,H
86,Buffalo,47,Ball St.,10/15/2016,H
86,Buffalo,503,Northern Ill.,10/22/2016,A
86,Buffalo,5,Akron,10/27/2016,H
86,Buffalo,519,Ohio,11/3/2016,A
86,Buffalo,414,Miami (OH),11/12/2016,H
86,Buffalo,774,Western Mich.,11/19/2016,A
86,Buffalo,71,Bowling Green,11/25/2016,A
107,California,277,Hawaii,8/26/2016,N
107,California,626,San Diego St.,9/10/2016,A
107,California,703,Texas,9/17/2016,H
107,California,28,Arizona St.,9/24/2016,A
107,California,732,Utah,10/1/2016,H
107,California,528,Oregon St.,10/8/2016,A
107,California,529,Oregon,10/21/2016,H
107,California,657,Southern California,10/27/2016,A
107,California,756,Washington,11/5/2016,H
107,California,754,Washington St.,11/12/2016,A
107,California,674,Stanford,11/19/2016,H
107,California,110,UCLA,11/26/2016,H
129,Central Mich.,1320,Presbyterian,9/1/2016,H
129,Central Mich.,521,Oklahoma St.,9/10/2016,A
129,Central Mich.,465,UNLV,9/17/2016,H
129,Central Mich.,746,Virginia,9/24/2016,A
129,Central Mich.,774,Western Mich.,10/1/2016,H
129,Central Mich.,47,Ball St.,10/8/2016,H
129,Central Mich.,503,Northern Ill.,10/15/2016,A
129,Central Mich.,709,Toledo,10/22/2016,A
129,Central Mich.,331,Kent St.,10/29/2016,H
129,Central Mich.,414,Miami (OH),11/4/2016,A
129,Central Mich.,519,Ohio,11/15/2016,H
129,Central Mich.,204,Eastern Mich.,11/22/2016,A
458,Charlotte,367,Louisville,9/1/2016,A
458,Charlotte,1068,Elon,9/10/2016,H
458,Charlotte,204,Eastern Mich.,9/17/2016,H
458,Charlotte,690,Temple,9/24/2016,A
458,Charlotte,523,Old Dominion,10/1/2016,H
458,Charlotte,229,Fla. Atlantic,10/8/2016,A
458,Charlotte,231,FIU,10/15/2016,H
458,Charlotte,388,Marshall,10/22/2016,A
458,Charlotte,664,Southern Miss.,11/5/2016,A
458,Charlotte,574,Rice,11/12/2016,H
458,Charlotte,419,Middle Tenn.,11/19/2016,H
458,Charlotte,706,UTSA,11/26/2016,A
140,Cincinnati,695,UT Martin,9/1/2016,H
140,Cincinnati,559,Purdue,9/10/2016,A
140,Cincinnati,288,Houston,9/15/2016,H
140,Cincinnati,414,Miami (OH),9/24/2016,H
140,Cincinnati,651,South Fla.,10/1/2016,H
140,Cincinnati,164,UConn,10/8/2016,A
140,Cincinnati,196,East Carolina,10/22/2016,H
140,Cincinnati,690,Temple,10/29/2016,A
140,Cincinnati,77,BYU,11/5/2016,H
140,Cincinnati,128,UCF,11/12/2016,A
140,Cincinnati,404,Memphis,11/18/2016,H
140,Cincinnati,719,Tulsa,11/25/2016,A
147,Clemson,37,Auburn,9/3/2016,A
147,Clemson,716,Troy,9/10/2016,H
147,Clemson,647,South Carolina St.,9/17/2016,H
147,Clemson,255,Georgia Tech,9/22/2016,A
147,Clemson,367,Louisville,10/1/2016,H
147,Clemson,67,Boston College,10/7/2016,A
147,Clemson,490,North Carolina St.,10/15/2016,H
147,Clemson,234,Florida St.,10/29/2016,A
147,Clemson,688,Syracuse,11/5/2016,H
147,Clemson,545,Pittsburgh,11/12/2016,H
147,Clemson,749,Wake Forest,11/19/2016,A
147,Clemson,648,South Carolina,11/26/2016,H
157,Colorado,156,Colorado St.,9/2/2016,N
157,Colorado,294,Idaho St.,9/10/2016,H
157,Colorado,418,Michigan,9/17/2016,A
157,Colorado,529,Oregon,9/24/2016,A
157,Colorado,528,Oregon St.,10/1/2016,H
157,Colorado,657,Southern California,10/8/2016,A
157,Colorado,28,Arizona St.,10/15/2016,H
157,Colorado,674,Stanford,10/22/2016,A
157,Colorado,110,UCLA,11/3/2016,H
157,Colorado,29,Arizona,11/12/2016,A
157,Colorado,754,Washington St.,11/19/2016,H
157,Colorado,732,Utah,11/26/2016,H
156,Colorado St.,157,Colorado,9/2/2016,N
